region,seed,team_name
East,1,Duke
East,8,Ohio State
East,5,St. John's
East,4,Kansas
East,6,Louisville
East,3,Michigan State
East,7,UCLA
East,2,UConn
West,1,Arizona
West,8,Villanova
West,5,Wisconsin
West,4,Arkansas
West,6,BYU
West,3,Gonzaga
West,7,Miami (FL)
West,2,Purdue
South,1,Florida
South,8,Clemson
South,5,Vanderbilt
South,4,Nebraska
South,6,North Carolina
South,3,Illinois
South,7,Saint Mary's
South,2,Houston
Midwest,1,Michigan
Midwest,8,Georgia
Midwest,5,Texas Tech
Midwest,4,Alabama
Midwest,6,Tennessee
Midwest,3,Virginia
Midwest,7,Kentucky
Midwest,2,Iowa State
East,16,Siena
East,9,TCU
East,12,Northern Iowa
East,13,California Baptist
East,11,South Florida
East,14,North Dakota State
East,10,UCF
East,15,Furman
West,16,LIU
West,9,Utah State
West,12,High Point
West,13,Hawaii
West,11,Texas
West,14,Kennesaw State
West,10,Missouri
West,15,Queens
South,16,Prairie View A&M
South,9,Iowa
South,12,McNeese
South,13,Troy
South,11,VCU
South,14,Penn
South,10,Texas A&M
South,15,Idaho
Midwest,16,Howard
Midwest,9,Saint Louis
Midwest,12,Akron
Midwest,13,Hofstra
Midwest,11,Miami (OH)
Midwest,14,Wright State
Midwest,10,Santa Clara
Midwest,15,Tennessee State
